ORDEN;FECHA COMPRA;CANTIDAD;CODIGO;DETALLE;COMPRA;DIVIDIDO
1;01/01/2025;0;000000002908;000000002908 - YESO PARIS x1kg;1792;1
2;01/01/2025;0;000000019355;000000019355 - YABOT ESPECIAL C/FAJA CROSTIx4 (10);4185;4
3;01/01/2025;0;000000045351;000000045351 - VIRUTA COLOR AMARILLO PAQUETE X 6;3640;6
4;01/01/2025;0;000000042874;000000042874 - VINCHA UNICORNIO BRILLO Y FLORES  x1 LM (v.colores);2002;1
5;01/01/2025;0;237187605003;237187605003 - VINCHA PLASTICA TRAGO LARGO x6 5003;3983,74;6
6;01/01/2025;0;237187605060;237187605060 - VINCHA PLASTICA RATONA x6 5060;3625,07;6
7;01/01/2025;0;237187605020;237187605020 - VINCHA PLASTICA RATON x6 5020;2681,1;6
8;01/01/2025;0;237187601042;237187601042 - VINCHA PLASTICA MALEFICA x6 1042;4026,54;6
9;01/01/2025;0;072530547269;072530547269 - VINCHA PLASTICA FLUO CARITAS SMILEY  x4u.;931,5;4
10;23/10/2025;1;237187605015;237187605015 - VINCHA PLASTICA CUCHILLO GIGANTE SANGRIENTO x6 5015;3433,75;6
11;01/01/2025;0;692405079332;692405079332 - VINCHA OREJA CONEJO PELUCHE x1 DG9332A;1156,4;1
12;01/01/2025;0;000000012651;000000012651 - VINCHA INDIO CON PLUMAS ECONOMICAx10 932;4009,5;10
13;23/10/2025;1;076357187878;076357187878 - VINCHA FLORES SEDA  CON LUZ ROJA x1 FN601;3027,78;1
14;01/01/2025;0;000000056971;000000056971 - VINCHA FLOR FRESIAS CON PERLAS x1u. LM (varios colores);2079;1
15;01/01/2025;0;601001001121;601001001121 - VINCHA FIBRA OPTICA LUMINOSA x1   MM126-01;1702,82;1
16;01/01/2025;0;639740820291;639740820291 - VINCHA FELIZ CUMPLEAÑOS ORO/PLATA/ROSA GOLD x1 PA291;864,67;1
17;01/01/2025;0;803410700677;803410700677 - VINCHA FELIZ CUMPLEAÑOS CORONA PLATEADA,DORADA,ROSA GOLD x12 YJ0804;8019;12
18;01/01/2025;0;000000040139;000000040139 - VINCHA DIABLO FLUO x4 DA922A;2542,4;4
19;23/10/2025;1;679740820007;679740820007 - VINCHA DIABLO CON LUZ x10 PA0007 CA;7840;10
20;01/01/2025;0;237187605056;237187605056 - VINCHA DIABLITA / DIABLO x6 5056;2681,1;6
21;01/01/2025;0;237187605017;237187605017 - VINCHA CON OREJA VACA x6 5017;3466,8;6
22;01/01/2025;0;237187605012;237187605012 - VINCHA CON OREJA GATO x6 5012;2602,53;6
23;01/01/2025;0;237183605010;237183605010 - VINCHA CON OREJA CONEJO CELESTE  x6 5010 C;2681,1;6
24;01/01/2025;0;237187605045;237187605045 - VINCHA CON OREJA BURRO x6 5045;3033,61;6
25;01/01/2025;0;000000042309;000000042309 - VELON REDONDO BLANCO (5.5 x 3.5cm aprox) x16;6467,85;16
26;01/01/2025;0;779806779169;779806779169 - VELON PERLADO GRUESO PLATEADO 13cm x6  ART.2267;3285,36;6
27;23/10/2025;2;779806779271;779806779271 - VELA PERLADA 15cm ROSA  x10 ART.2322;3433,36;10
28;23/10/2025;2;779806779277;779806779277 - VELA PERLADA 15cm DORADA  x10 ART.2322;3433,36;10
29;01/01/2025;0;779806779270;779806779270 - VELA PERLADA 15cm BLANCO  x10 ART.2322;3433,36;10
30;01/01/2025;0;779806779183;779806779183 - VELA PERLADA 10cm BLANCO x10 ART.2294;1964,91;10
31;01/01/2025;0;000000045933;000000045933 - VELA NUMEROTE CON GIBRE BLANCO Nº 0 x10;4747,95;10
32;01/01/2025;0;779808151050;779808151050 - VELA NOCHE BLANCA x12 (004) ILUMINARTE;1841,39;12
